mat_number;item_description_1;item_description_2;mat017_group
MAT0170401;Leitungsverbinder;Q 1,5/3IDC/13-13 KUKU;RC-K2
MAT0170402;Stecker, Ventil;3011 Schwarz incl. Profildichtung GDM;RC-K2
MAT0170403;Verteilerklemme;4-FAD;RC-K11
MAT0170404;Modulrahmen;MCR 16 S 5 Module, Stift;RC-K5
MAT0170407;Gerätedose;GIC3YT70T21;RC-K2
MAT0170409;Stecker;3011 LED 24 RG, GDML;RC-K2
MAT0170410;Aderendhülse, blank;10qmm / 18mm;RC-K1
MAT0170411;ersatzlos gestrichen;Kunststoff, 20pol. Buchse;RC-K3
MAT0170412;Gehäuse, Kunststoff;Kunststoff, 16pol. Buchse (Beutel VPE á;RC-K3
MAT0170413;Gehäuse, Kunststoff;Kunststoff, 14pol. Buchse;RC-K3
MAT0170414;Gehäuse, Kunststoff;Kunststoff, 10pol. Buchse;RC-K3
MAT0170415;Stift;MVSTBR 2,5/2-ST-5,08;RC-K2
MAT0170416;Gehäuse, Kunststoff;Kunststoff, 3pol. Buchse, MSTB2,5;RC-K3
MAT0170417;Steckerteil;MSTB 2,5/2-STF-5,08;RC-K2
MAT0170419;Einsatz, Stift;HAN 2, Axialschr.-Modul;RC-K5
MAT0170420;siehe MAT01717809;MCS 10 CM 10pol.;RC-K5
MAT0170422;Einsatz, Buchse;HAN 2 MOD-BU-S 40A, Axialschr.-Mod.;RC-K5
MAT0170428;Gelenkrahmen;HC-M MHR-T2N für Tüllengehäuse;RC-K3
MAT0170429;Stift;MSTB 2,5/6-STF-5,08;RC-K2
MAT0170430;Stift;MSTB 2,5/10-STF-5,08;RC-K2
MAT0170431;Leiste, Stift;IC 2,5/6-STF 5,08;RC-K2
MAT0170432;Leiste, Stift;IC 2,5/10-STF 5,08;RC-K2
MAT0170434;Steckleitse 4pol.;JST;RC-K2
MAT0170435;Modulrahmen;MCR 6 B 2 Module, Buchse;RC-K5
MAT0170436;siehe MAT01717813;MCB 10 CM 10pol.;RC-K5
MAT0170437;Einsatz, Buchse;Modul, HAN 6 MOD-Rahmen, Crimp, 12p-10A;RC-K5
MAT0170441;Einsatz, Buchse;Modul, HAN 12DD-Modul, 12pol, 10A;RC-K5
MAT0170442;Rahmen, Gelenk, Modul;HAN 6B-Modular, Bedruck. a…b , 2mod.;RC-K5
MAT0170443;Rahmen, Gelenk, Modul;HAN 6B-Modular, Bedruck. A…B , 2mod.;RC-K5
MAT0170444;Einsatz, Buchse;HAN Quintax-Modul;RC-K5
MAT0170445;Gehäuse;MVSTBU 2,5/2-GFB-5,08;RC-K3
MAT0170446;Stecker, Rundverbinder;R2.5 F6 9,0-12,0mm;RC-K2
MAT0170447;Einsatz, Stift;HAN Quintax-Modul, 2/4 MOD-STI-C;RC-K5
MAT0170449;Verschraubung, Messing;PG?, IP65;RC-K7
MAT0170455;Blindstopfen;6,0x25,0 weiß;RC-K7
MAT0170459;Mutter M DIN 46320,Messing,PG 16;;RC-A5
MAT0170463;Verschraubung, Messing;PG36, EMV;RC-K7
MAT0170464;HSK-K grau, PG 21, für Kabel 13-18mm, Po;;RC-K7
MAT0170466;Blindstopfen;PG 21;RC-K7
MAT0170467;Erweiterung;PG 13,5/21;RC-K7
MAT0170468;Reduzierung;PG 42/29, Messing;RC-K7
MAT0170469;Reduzierung;PG 29/21;RC-K7
MAT0170471;Erweiterung K-DIN46320, AG PG16 - IG PG2;AG PG16 auf IG PG21;RC-K7
MAT0170472;Reduzierung;PG 21/13;RC-K7
MAT0170473;Erweiterung;PG 11/13,5, Messing;RC-K7
MAT0170474;Verschraubung;PG21, TYP 159/MS, OBO;RC-K7
MAT0170475;Dichteinsatz, Einfach-;PG36, 27,0-32,0mm, antrazit;RC-K7
MAT0170476;Reduzierung;Metall PG 21, P16, SW30;RC-K7
MAT0170477;Verschraubung, Messing;PG16, Zwiebelring;RC-K7
MAT0170478;Verschraubung, Messing;PG16, EMV, IP68;RC-K7
MAT0170480;Verschraubung, Messing;PG29, KVB;RC-K7
MAT0170481;Verschraubung, Messing;PG21, EMV;RC-K7
MAT0170484;HSK-M-EMV-Ex, PG 16,für Kabel 10-14mm, M;-;RC-K7
MAT0170488;Erweiterung;PG 16/29, Messing;RC-K7
MAT0170490;Dichteinsatz, Einfach-;PG29, 17,0-21,0mm, braun;RC-K7
MAT0170495;Dichteinsatz, Mehrfach-;PG21, 4x8,0mm;RC-K7
MAT0170498;Verschraubung, Messing;PG13,5, EMV 6-12mm;RC-K7
MAT0170499;Verschraubung HSK-M-EMV;PG11 für Ø5-10mm Messing;RC-K7
MAT0170500;Reduktion-S,PG13,5-PG11,Messing;-;RC-K7
MAT0170501;Erweiterung;PG 13,5/16, Messing;RC-K7
MAT0170502;Reduktion H-DIN 46320, PG36 - PG 29, Mes;-;RC-K7
MAT0170503;Erweiterung;PG 29/36, Messing;RC-K7
MAT0170504;Reduzierung;Metall PG 21, P13,5, SW30;RC-K7
MAT0170506;Verschraubung;Klemmbackenverschraubung M25, 11,5-14,5;RC-K7
MAT0170507;Montagesockel;27x27;RC-K3
MAT0170508;Dichteinsatz, Mehrfach-;PG29, 4x8,0mm, weiß;RC-K7
MAT0170510;Stecker;Kabel, mit Schirmring, 6-8mm, 2pol., Sti;RC-K2
MAT0170512;Schüttware Kontakt, Stift;Crimp, HAN 6,0-9,5 Quintax M;RC-K6
MAT0170513;Stecker, Rundverbinder;INS O713/C0112x1 Buchse;RC-K2
MAT0170514;Kupplung Stift;12x1, INS 0716/C01;RC-K4
MAT0170515;Einsatz, Buchse;HAN 40D, Crimp;RC-K5
MAT0170517;Stecker, Ventil;IP 67 Binder;RC-K2
MAT0170520;Stecker, Rundverbinder;LS1 F6 9,0-14,0mm, 5+PE;RC-K2
MAT0170522;Stecker, Rundverbinder;LS1 F6, 9,0-14,0mm,  3+PE+4;RC-K2
MAT0170523;Stecker, Rundverbinder;R2.5 D6 7,5-14,0mm;RC-K2
MAT0170525;Stecker, Rundverbinder;17x1 Buchse;RC-K2
MAT0170526;Stecker, Rundverbinder;LS1 D6, 12,5-17mm, 3+PE+4;RC-K2
MAT0170527;Stecker, Rundverbinder;LS1 F6, 9,0-14,0mm, 3+PE+4;RC-K2
MAT0170530;Kontakt, Stift;4pol.;RC-K6
MAT0170531;Einsatz, Buchse;4pol.  Stecker;RC-K5
MAT0170532;Isolierkörper;R2.5 8+1pol. Rechtsd.;RC-K5
MAT0170533;Stecker, Rundverbinder;CA08COM-PG20A9S-16;RC-K2
MAT0170535;Isolierkörper;R2.5 17pol. Rechtsd.;RC-K5
MAT0170536;Isolierkörper;R2.5 12pol. Linksdrehend;RC-K5
MAT0170537;Isolierkörper;R2.5 12pol. Rechtdrehend, 1 codiert;RC-K5
MAT0170538;Isolierkörper;R2.5 12pol. Linksdrehend;RC-K5
MAT0170539;Isolierkörper;R2.5 12pol. Rechtsdrehend, 7 codiert;RC-K5
MAT0170541;Isolierkörper;R2.5 12pol. Rechtsdr;RC-K5
MAT0170542;Isolierkörper;R2.5 12pol. Linksdr.;RC-K5
MAT0170543;Gehäuse, Kunststoff;FKS 3AE-K201E;RC-K3
MAT0170544;Gehäuse, Kunststoff;FKS 1AE-K201E;RC-K3
MAT0170547;Buchse;12pol.;RC-K1
MAT0170548;Stift;MSTB 2,5/4/STF-5,08;RC-K2
MAT0170549;Steckerteil;MSTB 2,5/4-ST-5,08;RC-K2
MAT0170550;Buchse;4pol.;RC-K2
MAT0170551;Buchse;5pol.;RC-K2
MAT0170553;Buchse;7pol.;RC-K2
MAT0170554;Einsatz, Stift;Modulareinsatz, Crimp, 12P-10A;RC-K5
MAT0170559;LS1SCEMAU 0,5-2,5;74031000;RC-K11
MAT0170562;Einsatz, Buchse;HC-M-04-MOD-BU;RC-K5
MAT0170564;Metallflansch4x3.2mm;BohrungfürSignalstecker;RC-K3
MAT0170568;Stecker, Leistung;Bu-Kont.4qmm + 2,5 auf 0,5 reduziert;RC-K2
MAT0170569;Stecker;INS O482/C03;RC-K2
MAT0170570;Stecker;-;RC-K2
MAT0170572;Stecker;2pol. Binder;RC-K2
MAT0170577;Stecker;RC-12 S1 N12 Z LOD;RC-K2
MAT0170578;Gehäuse, SUB-D;Kunststoff 15pol;RC-K3
MAT0170579;Leitungsdose;ELWIKA 3008 V 3pol;RC-K2
MAT0170580;Stecker;ELWIKA 3008 V 3pol. Gew. Binder;RC-K2
MAT0170582;Leistungsdose;ELKA 3008 V  3pol;RC-K2
MAT0170583;Stecker;ELST 3008 V 3pol. Ger. Binder;RC-K2
MAT0170585;Stecker, Rundverbinder;LS1 D6;RC-K2
MAT0170586;Stecker, Leistung;INS0172/L25 Bu;RC-K2
MAT0170587;Doppler, siehe MAT01718896;-;RC-K2
MAT0170588;Stiftverbinder;57pol. HMPD;RC-K2
MAT0170589;Stecker;24pol. AMP Buchsenverbindung;RC-K2
MAT0170590;Siehe MAT0170793;0-0182655-1;RC-K7
MAT0170591;Stiftverbinder;14pol. HMP;RC-K2
MAT0170592;Zugentlastung;0-0182652-1;RC-K7
MAT0170593;Stecker;Stift;RC-K2
MAT0170598;Verschraubung;MS-SC 13,5 PG 13,5 seitl. K.-Au.;RC-K7
MAT0170600;Reduktion-S,PG16-PG13,5,Messing;;RC-K7
MAT0170611;Erweiterung;PG 21 auf 29, messing;RC-K7
MAT0170613;Verschraubung;PG 13,5, Klemmback.verschrg.;RC-K7
MAT0170614;Stecker;INS O482/C04;RC-K2
MAT0170615;Tesaband;Gelb 12mm;RC-D6
MAT0170616;siehe MAT0179818;Isolierband, TYP 3M, sw;RC-D3
MAT0170617;Gehäuse, Tülle;HAN 3A PG 11 Ger. K.-Au.;RC-K3
MAT0170618;Kabelbinder;160x4,8 sw;RC-D2
MAT0170619;Kabelbinder;160x2,5 sw;RC-D2
MAT0170620;siehe MAT0171863;200x4,8 sw;RC-D2
MAT0170621;Markierer SSH;RS1Y5K333, UNC4-40, Ges.L=28mm;RC-K8
MAT0170623;Kabelbinder;188x4,8 sw;RC-D2
MAT0170624;Kabelbinder;130x2,5 sw;RC-D2
MAT0170628;Schraube;4-40 UNC;RC-A5
MAT0170629;Stecker;ITT CANNON 9 pol 50°;RC-K2
MAT0170632;Rändelschraube;FRS1Y5K333, UNC4-40, Ges.L=28mm;RC-K5
MAT0170633;Thermotransferfolie;RPR110SW/80M  sw;RC-D6
MAT0170634;Gehäuse, Tülle;HD-64, STS Gr. 1.2, PG1x21-1x16;RC-K3
MAT0170636;Gehäuse, SUB-D;Metall;RC-K3
MAT0170637;Einsatz, Buchse SUB-D;crimp 9pol;RC-K5
MAT0170638;Einsatz, Stift SUB-D;crimp 9pol;RC-K5
MAT0170639;Einsatz, Buchse SUB-D;crimp, 15 pol. Gr.2;RC-K5
MAT0170640;Einsatz, Stift SUB-D;crimp, 15 pol. Gr.2;RC-K5
MAT0170641;Einsatz, Buchse SUB-D;crimp, 25 pol. Gr.3;RC-K5
MAT0170642;Einsatz, Stift SUB-D;crimp, 25 pol. Gr.3;RC-K5
MAT0170643;Einsatz, Buchse SUB-D;crimp 37pol;RC-K5
MAT0170644;Einsatz, Stift SUB-D;crimp 37pol;RC-K5
MAT0170645;Bandware siehe MAT01718034;Crimp, HD20-0,14-0,5 SUB-D;RC-K6
MAT0170646;Bandware siehe MAT01718038;Crimp, HD20-0,14-0,5 SUB-D;RC-K6
MAT0170647;Stecker, Buchse;RKC 4/3/7;RC-K2
MAT0170648;Gehäuse, SUB-D;Metall, 45-Grad, 2xEinlass 9pol;RC-K3
MAT0170649;Schirmring;-;RC-K5
MAT0170650;Kabeldurchführung;-;RC-K2
MAT0170653;Grundierung;Grau;RC-D6
MAT0170654;Werkzeug;61735940, Abmantelmesser;RC-D1
MAT0170655;Kupferband;12mm selbstklebend,Länge 16,5m;RC-D3
MAT0170656;Prüfaufkleber Schwarz bedr.;Dokumentenf. Stück;RC-D3
MAT0170657;Zubehör;Lötzinn, 1,0, 2,5%Flux, bleifrei;RC-D3
MAT0170658;Bandware Kontakt, Buchse;Crimp, 1ROLLE=8000ST.;RC-K6
MAT0170659;Permanentstift;Fein 0,7 sw SUM-F;RC-D3
MAT0170660;Zubehör;Zinnstange 60%;RC-D3
MAT0170661;Zubehör;komplett für WS80, Lötgriff;RC-D1
MAT0170662;Zubehör;LT 1, Lötspitze;RC-D1
MAT0170663;Trennwände;ZW532;RC-D3
MAT0170665;Werkzeug;HTS 0,14-2,5, Handzange;RC-D1
MAT0170666;Gehäuse, Tülle;HAN 24HP PG 21 Seitl. K.-Au.;RC-K3
MAT0170667;Gehäuse, Anbau;HAN 24B (Schraubverschluß);RC-K3
MAT0170668;LF-Kasten;221 ZW PE Gelb;RC-D3
MAT0170669;LF-Kasten;532 GZW PE Gelb;RC-D3
MAT0170670;Kabelschuh, Ring, isoliert;M5, 4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170674;Verschraubung, Messing;PG29, Zwiebelring;RC-K7
MAT0170675;Rollboys;Typ Katimex;RC-D1
MAT0170676;Gehäuse, Tülle;HAN 24 HPR agg SV;RC-K3
MAT0170677;Streben laut Muster;145x1200;RC-D1
MAT0170678;Gehäuse, Tülle;HAN 32B PG 36;RC-K3
MAT0170679;Gehäuse, Tülle;HAN 16A PG 21 Seitl.K.-Au.;RC-K3
MAT0170681;Stecker, Buchse;6pol. Gr. 1,5;RC-K2
MAT0170682;Kontakt, Buchse;Crimp, 3,6;RC-K6
MAT0170683;Kontakt, Buchse;Crimp, C.34051;RC-K6
MAT0170686;siehe MAT01712104;Einsatz, Buchse, SUB-D, 9pol,löt;RC-K5
MAT0170687;Schlauchleitung;2STx11950 Mannes;RC-S2
MAT0170688;Schlauchleitung;2STx11960 Mannesmann;RC-S2
MAT0170689;Schlauchleitung;MK1x12490 Mannesman;RC-S2
MAT0170690;Schlauchleitung;MK1x12250 Mannesmann;RC-S2
MAT0170691;Schlauchleitung;MK1x12350 Mannesman;RC-S2
MAT0170692;Schlauchleitung;MK1x12200 Mannesm;RC-S2
MAT0170694;Stecker, Rundverbinder;LS1 D6 9,0-14,0mm 5+PE;RC-K2
MAT0170697;Stecker, Rundverbinder;R2.5 D6;RC-K2
MAT0170698;Stecker, Rundverbinder;R2.5 F6 7,5-14,0mm;RC-K2
MAT0170699;Schraube, Holz-;JD79 verz. 6x40;RC-A5
MAT0170700;Schraube, Holz-;JD79 verz. 4x40;RC-A5
MAT0170702;Schüttware Kontakt, Stift;Crimp, 1,0qmm;RC-K6
MAT0170707;Stecker, Rundverbinder;Gr. 1, 6x0,75-25;RC-K2
MAT0170711;Verschraubung, Messing;PG36, KVB;RC-K7
MAT0170712;Stecker, Buchse;INS O481/C03;RC-K2
MAT0170716;Gehäuse, Kunststoff;Kunststoff, 15pol, FCT-Haube;RC-K3
MAT0170722;Schüttware Kontakt, Stift;COAX Stiftkontakt crimp und/oder Löt Koa;RC-K6
MAT0170724;Einsatz, Buchse SUB-D;Sub-D 25pol. Löt.  Gr.3;RC-K5
MAT0170725;Buchse;Sub-D 5204-15 TW/C20194, Lötanschl.;RC-K5
MAT0170726;Kabelschuh, Ring, blank;M6, 16qmm;RC-K1
MAT0170727;Kabelschuh, Rohr, blank;M5, 10qmm;RC-K1
MAT0170728;Kabelschuh, Ring, blank;M8, 10qmm;RC-K1
MAT0170729;Kabelschuh, Rohr, blank;M5, 4,0qmm;RC-K1
MAT0170733;Kabelschuh, Ring, blank;M6, 4,0-6,0qmm;RC-K1
MAT0170735;Kabelschuh, Ring, isoliert;M5, 1,5-2,5qmm Farbe: blau;RC-K1
MAT0170736;Kabelschuh, Stift, isoliert;1,5-2,5qmm Farbe: blau;RC-K1
MAT0170737;Isolierkörper;R2.5 Rechtsdrehend 12pol.;RC-K5
MAT0170738;Stecker, Buchse;LPV0TLMM021013;RC-K2
MAT0170739;Stecker, Stift;LPV0TLMM021014;RC-K2
MAT0170744;siehe MAT01710126;1,5qmm / 18mm;RC-K1
MAT0170745;Aderendhülse, isoliert;1qmm / 12mm Farbe: gelb;RC-K1
MAT0170746;Aderendhülse, blank;0,5qmm / 8mm;RC-K1
MAT0170747;Aderendhülse, isoliert;0,75qmm / 12mm Farbe: weiß;RC-K1
MAT0170748;Schüttware siehe MAT0170751;H-D 16 gestanzt 0,5-1,5qmm;RC-K6
MAT0170750;Schüttware Kontakt, Stift;H-D 1,6,gestanzt 0,5-1,5qmm;RC-K6
MAT0170751;Schüttware Kontakt, Buchse;H-D 1,6,gestanzt 0,5-1,5qmm;RC-K6
MAT0170752;siehe MAT0174266;5x40, Spax;RC-A5
MAT0170753;Schraube, Holz-;JD79 verz. 6x100;RC-A5
MAT0170754;Kabelschuh, Stift, isoliert;4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170756;Bandware Kontakt, Buchse;Crimp, 0,5-1,5 HDBZBG;RC-K6
MAT0170759;Einsatz, Stift;H-BS 6 SS 6pol.Schraub.;RC-K5
MAT0170760;Einsatz, Buchse;H-BS 6 BS 6pol., Schraub.;RC-K5
MAT0170761;Hart-PVC-Platten;RAL 7011 200x;RC-D6
MAT0170762;Bandware Kontakt, Stift;Crimp, HDSCBG0,5-1,5;RC-K6
MAT0170763;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 4, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170764;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ T, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170765;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ Z, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170766;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ B, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170767;Gehäuse, Sockel;HAN 10B 1xPG16;RC-K3
MAT0170768;Gehäuse, Sockel;HAN 16B 1xPG 21;RC-K3
MAT0170769;Zugentlastung;75007210;RC-A2
MAT0170770;Kabelklemme;R2.5, 5,5-10,5mm;RC-K7
MAT0170771;Klemmring;LS1 Metall;RC-K7
MAT0170772;Stecker, Buchse;INS0252/C02 (CN-0008S-ROUN-SCREW-300V);RC-K2
MAT0170773;Schüttware Kontakt, Buchse;Crimp,  6mm² (Kontakt 3,6mm²);RC-K6
MAT0170774;Werkzeug;51060210936, Auswerfer für MAT0170773;RC-D1
MAT0170775;Flanschdose;ohne Kontakte;RC-K2
MAT0170777;Schraube, Holz-;JD79 verz. 4x35;RC-A5
MAT0170778;Schraube, Holz-;JD79 verz. 5x100;RC-A5
MAT0170782;Sprühfarbe;Seidenglanz 25;RC-D3
MAT0170783;Gehäuse, Sockel;HAN 24B (2 Bügel) PG21;RC-K3
MAT0170784;Kabeldose;Kabel, mit Lötöse, 6-8mm, 7pol., Buchse;RC-K2
MAT0170785;Klemmring;R2.5 Klemmring Metall;RC-K7
MAT0170786;Kabelklemme;R2.5 9,0-12,0mm;RC-K7
MAT0170787;Kabelklemme;LS1 19,0-14,0mm;RC-K7
MAT0170789;Einsatz, Stift;H-D 40 SCG 40pol.  Crimp;RC-K5
MAT0170790;Verschraubung;HSK-M-EMV-Ex,PG29, für Kabel 18-25mm,-20;RC-K7
MAT0170792;Einsatz, Stift;Crimp, 25P-10A;RC-K5
MAT0170793;Zugentlastung;AMP;RC-K7
MAT0170795;Rahmen, Montage;für Schaltschrankeinbau;RC-K5
MAT0170796;Schüttware Kontakt, Buchse;Crimp;RC-K6
MAT0170798;Schüttware Kontakt, Stift;Stift Crimp, 0,75qmm AW G18, versilbert;RC-K6
MAT0170799;HAN Snap;Einsatzhalter für flexible Montage, mitt;RC-K5
MAT0170800;Gehäuse;0-0182642-1 Buchse;RC-K3
MAT0170801;Kabelmarkierer;47x120 PVC Transparent;RC-K8
MAT0170802;Leer;Leer;RC-D3
MAT0170803;Gehäuse, Kunststoff;2pol.;RC-K3
MAT0170804;Schüttware Kontakt, Buchse;Crimp, 1,5qmm ITT 192990-0110;RC-K6
MAT0170805;Gehäuse, Kunststoff;Kunststoff, 6pol.;RC-K3
MAT0170808;Gehäuse, Tülle;Gerade;RC-K3
MAT0170809;Gehäuse, Tülle;gerader Kabelausgang;RC-K3
MAT0170810;Gehäuse, Tülle;gerader Kabelausgang;RC-K3
MAT0170811;Gehäuse, Tülle;gerader Kabelausgang;RC-K3
MAT0170812;Schüttware Kontakt, Stift;Crimp, 2,5;RC-K6
MAT0170813;Schüttware Kontakt, Stift;CDMD 0.3, Crimp 0.3, 0.25qmm;RC-K6
MAT0170815;Schüttware Kontakt, Buchse;CDFA 2.5, Crimp, 2,5;RC-K6
MAT0170816;Gehäuse, SUB-D;15pol;RC-K3
MAT0170817;Einsatz, Stift;Crimp, 7P-SCHWARZ-10A;RC-K5
MAT0170818;Einsatz, Buchse;Crimp, 7P-SCHWARZ-10A;RC-K5
MAT0170819;Stecker, Buchse;15pol. Löt.;RC-K2
MAT0170820;Kabeldose;DMS3106A14S-2;RC-K2
MAT0170821;Schüttware Kontakt, Stift;CK2,5-ED-1,50ST AG;RC-K6
MAT0170822;Einsatz, Buchse;Crimp, 8P-10A;RC-K5
MAT0170823;Einsatz, Stift;Crimp, 8P-10A;RC-K5
MAT0170824;Stecker;LS 1,5 F6 3+PE+2 Gr. 1,5 Stift;RC-K2
MAT0170825;Gehäuse, Sockel;H-B 6 SGR 16 PG 16;RC-K3
MAT0170826;Gehäuse, Tülle;H-B 6 TS 16 PG 16 seitl.K.Au.;RC-K3
MAT0170827;Stecker;INS O192/L25;RC-K2
MAT0170829;Stecker, Stift;12pol. Löt.;RC-K2
MAT0170830;Stiftleiste;SLS 5.08/6 SN O 6pol.;RC-K2
MAT0170831;Stiftleiste;SLS 5.08/8 SN O 8pol.;RC-K2
MAT0170832;Stiftleiste;SLS 5.08/4 SN O 4pol.;RC-K2
MAT0170833;Stecker;INS O220/L06;RC-K2
MAT0170834;Löt-Haube;D-Sub 9pol., 17JE13090-02D 8A;RC-K3
MAT0170835;Zugentlastung;DMS3057-6AK;RC-K7
MAT0170836;Gehäuse, Tülle;HAN 10B PG 16 Seitl. K.-Au.;RC-K3
MAT0170837;Gehäuse, Anbau;HAN 10 HPR-AGG-SV;RC-K3
MAT0170838;Steckverbinder;INS 0459/K02;RC-K2
MAT0170839;Steckverbinder;INS 0542/K01;RC-K2
MAT0170840;Stecker, Stift;SACC-M 8MS-3CON-M;RC-K2
MAT0170841;Stecker, Buchse;SACC-M 8FS-3CON-M;RC-K2
MAT0170842;Verpackungsmaterial;100x100x600 m. 2 Bohr.;RC-D5
MAT0170843;Brett;23X100X1200;RC-D5
MAT0170844;Verpackungsmaterial;Einweg Holz 2,7x1,2, Palette;RC-D2
MAT0170845;Kabelbinder;1000x12,6 sw;RC-D2
MAT0170847;Schiebeverriegelung;4-40 UNC 250- 50polig;RC-K11
MAT0170848;Schraube Sechskant- Holz-;DIN571 verz. 10 x 160;RC-A5
MAT0170849;Schraube, Zylinder-;DIN912 blank 8x100;RC-A5
MAT0170851;Schraube;10x40, Schlüsselschraube;RC-A5
MAT0170852;Stecker, Buchse;3pol.;RC-K2
MAT0170855;Klemmring;R2.5 Kunststoff;RC-K7
MAT0170860;Stecker, Rundverbinder;Gr. 1, 6x1,5-2,5;RC-K2
MAT0170861;Stecker, Stift;17pol.;RC-K2
MAT0170862;Stecker, Buchse;17pol.;RC-K2
MAT0170863;Stecker, Signal;Stift, gestanzte HCS-Kontakte, 17 polig;RC-K2
MAT0170866;Gehäuse, Tülle;HAN 10B PG 29 Seitl. K.-Au.;RC-K3
MAT0170867;Kabelschuh, Rohr, blank;M6, 25qmm;RC-K1
MAT0170868;Kabelschuh, Ring, isoliert;M5, 0,5-1,0qmm Farbe: rot;RC-K1
MAT0170878;Verschraubung;PG36, 25-35/-27, KV WADI-E MS;RC-K7
MAT0170879;Verschraubung;PG29, 25,5/-21, KV WADI-E MS;RC-K7
MAT0170880;Stecker, Stift;M12, 5pol. A-codiert, Stift für Ø6-8mm;RC-K2
MAT0170881;Stecker, Leistung;VPAF08DFRNM000;RC-K2
MAT0170882;Bandware Kontakt, Stift;Crimp, versilbert;RC-K6
MAT0170883;Leiste, Buchse;Sub-D 37pol. Buchse , lötvariante;RC-K5
MAT0170885;Stecker;SRNA09EFROR;RC-K2
MAT0170886;Stecker;SPNA09FMRSR;RC-K2
MAT0170888;Kabeldose;Kabel, mit Schirmring, 6-8mm, 12pol., Bu;RC-K2
MAT0170889;Flachsteckhülse;0,5-1,0 isoliert 4,8x0,8 (24013);RC-K1
MAT0170890;Blech;Beistellung Kunde Rosenberger;RC-B3
MAT0170896;Zubehör;18.945.84, Lötschwamm;RC-D1
MAT0170897;Blindstopfen;PG 29 Metall;RC-K7
MAT0170898;siehe MAT01722636;Winkel, löten, 4pol., Buchse;RC-K2
MAT0170899;Kabelbinder;7,8X540 sw;RC-D2
MAT0170902;Stecker;09-0325-02-07;RC-K2
MAT0170903;Kabeldose;09-0326-02-07;RC-K2
MAT0170904;Steckverbinder, Rund, Winkel;RKCW4/3/7 3pol.;RC-K2
MAT0170905;Markierer SSH;BPT-517-427;RC-K8
MAT0170906;Gehäuse, Tülle;HAN 16B PG 29 Seitl.K.-Au.;RC-K3
MAT0170907;Gehäuse, Sockel;Sockelgehäuse  P;RC-K3
MAT0170910;Leitungsdose;ELKA 4012 PG7 4pol;RC-K2
MAT0170912;Verpackungsmaterial;600X100X20 m. 2 Bohr.;RC-D2
MAT0170913;Gehäuse, Sockel;Sockelgehäuse, 2xBügel, PG29x2;RC-K3
MAT0170917;Bandware Kontakt, Stift;Crimp, ZN0101600031;RC-K6
MAT0170918;Klemmring;R2.5 Metall;RC-K7
MAT0170919;Kabelklemme;R2.5 Kunststoff;RC-K7
MAT0170920;Stecker, Rundverbinder;Kupplung Stift;RC-K2
MAT0170921;Gehäuse, Tülle;HAN 10B PG 29 Ger. K.-Ausg.;RC-K3
MAT0170929;Stecker;Satz nach RKO0101;RC-K2
MAT0170931;Einsatz, Buchse;H-D 25 BCM 25pol., Crimp;RC-K5
MAT0170932;Einsatz, Stift;H-D 25 SCM 25pol. Crimp;RC-K5
MAT0170933;SchüttwareKontakt, Buchse;H-D 1,6, gedreht 2,5qmm;RC-K6
MAT0170934;Schüttware Kontakt, Stift;H-D 1,6, gedreht 2,5qmm;RC-K6
MAT0170935;Schüttware Kontakt, Buchse;H-D 1,6, gedreht 0,75-1qmm;RC-K6
MAT0170937;Schüttware Kontakt, Buchse;H-D 1,6, gedreht 0,5qmm;RC-K6
MAT0170938;Schüttware Kontakt, Stift;H-D 1,6 gedreht 0,5 qmm;RC-K6
MAT0170939;Schüttware Kontakt, Buchse;H-D 1,6, gedreht 0,14-0,37qmm;RC-K6
MAT0170941;Kupplung;8952DL-12;RC-K4
MAT0170942;Stecknippel;8278L-11;RC-K11
MAT0170943;Kupplung;1461EL-12;RC-K4
MAT0170944;Stecknippel;1096B-11;RC-K11
MAT0170945;Lagerbestandskarten;Canariengelb 85x185;RC-D3
MAT0170946;Adapterplatte, Sub-D, 25pol;HAN 10B;RC-K3
MAT0170947;Adapterplatte, Sub-D, 15pol;HAN 6B;RC-K3
MAT0170948;Adapterplatte, Sub-D, 9pol;HAN 6B;RC-K3
MAT0170949;Aderendhülse, isoliert;16qmm / 18mm Farbe: grün;RC-K1
MAT0170950;Schüttware Kontakt, Stift;Crimp 0,75qmm versilb. Leistung;RC-K6
MAT0170951;Schüttware Kontakt, Buchse;Crimp 6qmm versilb.;RC-K6
MAT0170952;Schüttware Kontakt, Buchse;Crimp 0,75qmm versilb. Leistung;RC-K6
MAT0170954;Schüttware Kontakt, Stift;Crimp 6qmm versilb. Leistung;RC-K6
MAT0170955;Befestigungsschelle;RSGU1 25;RC-A2
MAT0170956;Befestigungsschelle;RSGU1 22;RC-A2
